Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj,FetchSize,WriteSize,DispatchNs,BeginNs,EndNs,CompleteNs
169,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,338,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524934,262144,782277713395713,782277713550588,782277714405008,782277714412202
170,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,340,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524352,4,782277714476251,782277714628533,782277715377829,782277715386822
174,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,348,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524879,262144,782277717448390,782277717600759,782277718456778,782277718463819
175,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,350,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524344,4,782277718525229,782277718677743,782277719452801,782277719460519
179,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,358,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524872,262144,782277721527187,782277721683411,782277722531430,782277722539016
180,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,360,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524342,6,782277722601505,782277722753515,782277723475931,782277723484246
184,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,368,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524870,262144,782277725552164,782277725708141,782277726562080,782277726569343
185,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,370,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524346,5,782277726631122,782277726786085,782277727540662,782277727548103
189,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,378,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524896,262144,782277729618851,782277729775432,782277730630331,782277730638200
190,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,380,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524346,5,782277730700409,782277730855136,782277731637234,782277731644189
194,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,388,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524964,262144,782277733709507,782277733862564,782277734714743,782277734721536
195,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,390,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524350,5,782277734782325,782277734941468,782277735713805,782277735719905
199,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,398,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524896,262144,782277737790033,782277737943615,782277738800275,782277738807263
200,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,400,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524354,4,782277738873352,782277739027480,782277739811497,782277739818192
204,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,408,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524906,262144,782277741884270,782277742061628,782277742912847,782277742919729
205,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,410,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524341,5,782277742981478,782277743137332,782277743886149,782277743893888
209,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,418,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524869,262144,782277745972636,782277746125239,782277746980618,782277746987605
210,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,420,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524350,5,782277747051115,782277747208303,782277747953760,782277747960085
214,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,428,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524926,262144,782277750019923,782277750175410,782277751034949,782277751043292
215,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,430,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524351,5,782277751107082,782277751261194,782277752056252,782277752064221
219,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,438,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524879,262144,782277754134519,782277754289262,782277755141121,782277755148248
220,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,440,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524342,6,782277755209918,782277755368646,782277756133143,782277756140318
224,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,448,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524927,262144,782277758214906,782277758371753,782277759226333,782277759233665
225,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,450,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524340,4,782277759294654,782277759450818,782277760192274,782277760198835
229,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,458,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524956,262144,782277762265343,782277762417612,782277763274902,782277763291522
230,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,460,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524338,6,782277763351441,782277763504504,782277764231713,782277764239892
234,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,468,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524902,262144,782277766316759,782277766469339,782277767320229,782277767327909
235,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,470,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524369,5,782277767394318,782277767545511,782277768302640,782277768310438
239,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,478,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524981,262144,782277770390796,782277770542986,782277771398836,782277771407675
240,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,480,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524348,4,782277771472444,782277771626039,782277772417408,782277772426354
244,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,488,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524904,262144,782277774496192,782277774649114,782277775502404,782277775510651
245,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,490,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524341,5,782277775574611,782277775725607,782277776502896,782277776511261
249,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,498,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524865,262144,782277778588709,782277778739562,782277779593012,782277779601508
250,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,500,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524342,4,782277779666337,782277779822295,782277780594784,782277780601907
254,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,508,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524990,262144,782277782686665,782277782838330,782277783696260,782277783703874
255,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,510,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524351,5,782277783770923,782277783922023,782277784659952,782277784667434
259,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,518,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524927,262144,782277786756002,782277786910858,782277787765908,782277787774791
